Entity,Code,Year,Share of the population using the Internet
Afghanistan,AFG,2016,11.0
Albania,ALB,2016,59.6
Algeria,DZA,2016,42.9455
Andorra,AND,2016,89.7
Angola,AGO,2016,23.2
Antigua and Barbuda,ATG,2016,70.9743
Argentina,ARG,2016,70.969
Armenia,ARM,2016,64.346
Aruba,ABW,2016,93.5425
Australia,AUS,2016,86.54
Austria,AUT,2016,84.3237
Azerbaijan,AZE,2016,78.2
Bahamas,BHS,2016,80.0
Bahrain,BHR,2016,98.0
Bangladesh,BGD,2016,18.1
Barbados,BRB,2016,72.2
Belarus,BLR,2016,71.113
Belgium,BEL,2016,86.5165
Belize,BLZ,2016,44.5757
Benin,BEN,2016,14.5
Bermuda,BMU,2016,98.0
Bhutan,BTN,2016,46.5
Bolivia,BOL,2016,39.6975
Bosnia and Herzegovina,BIH,2016,60.2565
Botswana,BWA,2016,42.2576
Brazil,BRA,2016,60.8725
British Virgin Islands,VGB,2016,77.7014
Brunei,BRN,2016,90.0
Bulgaria,BGR,2016,59.8255
Burkina Faso,BFA,2016,7.14
Burundi,BDI,2016,2.2
Cambodia,KHM,2016,32.3985
Cameroon,CMR,2016,20.6
Canada,CAN,2016,91.16
Cape Verde,CPV,2016,50.3228
Cayman Islands,CYM,2016,79.0
Central African Republic,CAF,2016,3.1
Chad,TCD,2016,5.8
Chile,CHL,2016,83.5586
China,CHN,2016,53.2
Colombia,COL,2016,58.1365
Comoros,COM,2016,7.93832
Congo,COG,2016,8.12195
Costa Rica,CRI,2016,65.8804
Cote d'Ivoire,CIV,2016,41.2078
Croatia,HRV,2016,72.6973
Cuba,CUB,2016,42.9787
Curacao,CUW,2016,61.8555
Cyprus,CYP,2016,75.9002
Czechia,CZE,2016,76.4812
Democratic Republic of Congo,COD,2016,10.1
Denmark,DNK,2016,96.9678
Djibouti,DJI,2016,30.8
Dominica,DMA,2016,67.03
Dominican Republic,DOM,2016,63.8709
East Asia and Pacific (WB),WB_EAP,2016,53.9
East Timor,TLS,2016,21.2
Ecuador,ECU,2016,54.0629
Egypt,EGY,2016,41.2481
El Salvador,SLV,2016,28.9971
Equatorial Guinea,GNQ,2016,23.78
Eritrea,ERI,2016,1.17712
Estonia,EST,2016,87.2402
Eswatini,SWZ,2016,28.57
Ethiopia,ETH,2016,15.3669
Europe and Central Asia (WB),WB_ECA,2016,72.3
Faroe Islands,FRO,2016,95.1087
Fiji,FJI,2016,49.42
Finland,FIN,2016,87.7036
France,FRA,2016,79.2698
French Polynesia,PYF,2016,68.4404
Gabon,GAB,2016,48.0523
Gambia,GMB,2016,19.9
Georgia,GEO,2016,58.4593
Germany,DEU,2016,84.1652
Ghana,GHA,2016,28.0
